y,x,ran1,ran1,ran3,station,timestamp
46.4916,30.8529,0,106.8,79,1,1554806792
44.1471,28.6679,0.1,149.0,35,15,1554806884
44.1548,28.6486,0.1,195.3,71,15,1554806921
46.2265,30.734,0,164.4,70,1,1554806940
44.0917,39.0609,0.1,263.5,79,5,1554806798
44.0687,39.082,0,36.0,80,1,1554806644
44.7242,37.8118,0,16.5,53,1,1554806420
40.8629,29.2049,0,341.9,70,1,1554806694
44.0539,39.0869,0.1,279.3,70,1,1554806927
43.1922,27.8986,0.1,214.9,70,5,1554806853
44.5618,38.076,0,0.0,60,0,1554806908
44.7206,37.8258,0,0.0,95,5,1554806914
44.5959,37.9094,0,360.0,89,1,1554806685
